,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
76,"This Is America","Childish Gambino",1025058,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
77,"Summer Games",Drake,1020032,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
78,Mine,Bazzi,994313,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
79,"Sandra’s Rose",Drake,984602,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
80,"Madura (feat. Bad Bunny)",Cosculluela,982657,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
81,"High Hopes","Panic! At The Disco",972827,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
82,"Playinwitme (feat. Kehlani)",KYLE,971976,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
83,"In My Blood","Shawn Mendes",970504,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
84,Perfect,"Ed Sheeran",962652,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
85,Believer,"Imagine Dragons",953575,https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo
86,OTW,Khalid,948450,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
87,"Start Again (feat. Logic)",OneRepublic,939806,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
88,"That’s How You Feel",Drake,923784,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
89,"Ball For Me (feat. Nicki Minaj)","Post Malone",920918,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
90,"I'm a Mess","Bebe Rexha",916243,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
91,"Por Perro","Sebastian Yatra",913557,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
92,Clandestino,Shakira,913530,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
93,"Call Out My Name","The Weeknd",912363,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
94,"Drug Addicts","Lil Pump",883285,https://open.spotify.com/track/6tpHfEM8eaETzlPOARYWfZ
95,Thunder,"Imagine Dragons",880544,https://open.spotify.com/track/7BrsBU0BAytRDvROM4yCbn
96,"Plug Walk","Rich The Kid",875244,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
97,"New Light","John Mayer",865065,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
98,Finesse,Drake,864625,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
99,Jaded,Drake,863109,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
100,"Freaky Friday (feat. Chris Brown)","Lil Dicky",862430,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
101,"I Fall Apart","Post Malone",859484,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
102,"Walk It Talk It",Migos,853823,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
103,"Estamos Bien","Bad Bunny",830658,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
104,Hope,XXXTENTACION,817202,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
105,"XO TOUR Llif3","Lil Uzi Vert",816733,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
106,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",813567,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
107,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,811253,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
108,"Too Good At Goodbyes","Sam Smith",810808,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
109,"Für Euch alle (feat. Samra & Capital Bra)",Bushido,805698,https://open.spotify.com/track/78CLZUWhsxIDwObCKOh1fh
110,"Síguelo Bailando",Ozuna,805616,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
111,Somebody,"The Chainsmokers",804502,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
112,"All The Stars (with SZA)","Kendrick Lamar",804392,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
113,"Bella - Remix",Wolfine,799979,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
114,Happier,"Ed Sheeran",798494,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
115,"Remind Me to Forget",Kygo,793718,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
116,"Audio - with Sia, Diplo & Labrinth",Sia,793570,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
117,Familiar,"Liam Payne",787413,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
118,"El Préstamo",Maluma,780458,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
119,Peak,Drake,780154,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
120,Shotgun,"George Ezra",776024,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
121,Dura,"Daddy Yankee",772498,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
122,"Te Amo","Piso 21",767914,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
123,"In My Mind",Dynoro,757080,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
124,"I'll Be There","Jess Glynne",755048,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
125,Asesina,Brytiago,748456,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
126,"WIFI LIT",Future,740777,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
127,"Ric Flair Drip (& Metro Boomin)",Offset,736199,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
128,Enemies,Lauv,734756,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
129,"Only You","Cheat Codes",723961,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
130,Calypso,"Luis Fonsi",720492,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
131,JAPAN,"Famous Dex",712731,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
132,"Mad Love","Sean Paul",709626,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
133,"Is There More",Drake,708932,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
134,"Candy Paint","Post Malone",704859,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
135,Closer,"The Chainsmokers",704422,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
136,NUMB,XXXTENTACION,694739,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
137,"Échame La Culpa","Luis Fonsi",685421,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
138,"Say You Won't Let Go","James Arthur",683076,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
139,HUMBLE.,"Kendrick Lamar",678284,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
