artist,song,index,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
Ariana Grande,the light is coming (feat. Nicki Minaj),1,0.0149,0.879,228400.0,0.544,"['dance pop', 'pop', 'post-teen pop']",1.14e-05,6.0,0.0291,-5.667,0.0,88.0,0.151,99.005,4.0,0.67,
Ariana Grande,Side To Side,0,0.0373,0.65,226160.0,0.728,"['dance pop', 'pop', 'post-teen pop']",0.0,6.0,0.328,-5.914,0.0,88.0,0.232,159.167,4.0,0.619,
Ariana Grande,no tears left to cry,3,0.0375,0.703,205947.0,0.696,"['dance pop', 'pop', 'post-teen pop']",5.65e-06,0.0,0.274,-5.482,1.0,88.0,0.0529,121.969,4.0,0.366,
Ariana Grande,Everyday,2,0.0176,0.64,194840.0,0.742,"['dance pop', 'pop', 'post-teen pop']",0.0,7.0,0.157,-4.461,0.0,88.0,0.0488,130.972,4.0,0.403,
Avicii,Wake Me Up,3,0.00346,0.518,247427.0,0.784,"['big room', 'edm']",0.00187,2.0,0.171,-5.659,1.0,83.0,0.0524,124.102,4.0,0.588,
Ayo & Teo,Rolex,0,0.0837,0.804,238587.0,0.886,['dwn trap'],0.0,1.0,0.266,-2.512,1.0,63.0,0.04,144.946,4.0,0.789,
BLACKPINK,DDU-DU DDU-DU,1,0.0323,0.671,209355.0,0.859,['k-pop'],0.0,4.0,0.267,-3.922,0.0,77.0,0.0833,139.931,4.0,0.389,
BTS,FAKE LOVE,3,0.00267,0.557,242334.0,0.719,['k-pop'],0.0,2.0,0.306,-4.515,0.0,86.0,0.0372,77.501,4.0,0.344,
BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],0,0.0157,0.613,238726.0,0.842,['k-pop'],0.0,10.0,0.23,-4.332,0.0,86.0,0.219,169.917,4.0,0.645,
BTS,DNA,2,0.022,0.598,223123.0,0.775,['k-pop'],0.0,1.0,0.0677,-4.035,0.0,86.0,0.0545,129.819,4.0,0.687,
Backstreet Boys,Don't Go Breaking My Heart,1,0.0218,0.541,215724.0,0.703,"['boy band', 'dance pop', 'europop', 'pop']",0.0,0.0,0.0964,-5.573,1.0,74.0,0.102,94.858,4.0,0.238,
Bad Wolves,Zombie,2,0.00756,0.448,254805.0,0.826,['alternative metal'],0.0,2.0,0.117,-3.244,0.0,64.0,0.0319,77.093,4.0,0.19,
Bazzi,Mine,3,0.0161,0.71,131064.0,0.789,"['pop', 'post-teen pop']",2.77e-06,4.0,0.451,-3.874,1.0,78.0,0.0722,142.929,4.0,0.717,
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),1,0.047,0.643,163870.0,0.783,"['dance pop', 'pop', 'post-teen pop']",0.0,10.0,0.083,-6.458,1.0,83.0,0.0856,154.084,4.0,0.579,
Bebe Rexha,I Got You,0,0.0481,0.606,191800.0,0.889,"['dance pop', 'pop', 'post-teen pop']",3.56e-06,9.0,0.0933,-4.782,0.0,83.0,0.0519,97.988,4.0,0.337,
Becky G,Sin Pijama,3,0.354,0.791,188560.0,0.745,"['dance pop', 'pop', 'post-teen pop']",2.93e-05,11.0,0.104,-3.695,0.0,83.0,0.0464,94.014,4.0,0.82,
Becky G,Mayores,2,0.141,0.743,202453.0,0.855,"['dance pop', 'pop', 'post-teen pop']",0.0045,5.0,0.099,-3.976,0.0,83.0,0.0436,96.989,4.0,0.871,
Ben Platt,Found/Tonight,1,0.801,0.349,179242.0,0.307,['hollywood'],0.0,10.0,0.0968,-7.197,1.0,63.0,0.0402,80.964,4.0,0.447,
Bhad Bhabie,Hi Bich,1,0.156,0.924,104528.0,0.387,"['pop', 'trap queen']",0.000331,8.0,0.0973,-7.738,1.0,68.0,0.115,120.014,4.0,0.0624,
Bhad Bhabie,These Heaux,2,0.215,0.852,140008.0,0.577,"['pop', 'trap queen']",0.0,6.0,0.138,-6.347,0.0,68.0,0.16,119.986,4.0,0.448,
Bhad Bhabie,Gucci Flip Flops (feat. Lil Yachty),0,0.0347,0.822,150000.0,0.622,"['pop', 'trap queen']",0.0181,8.0,0.114,-7.33,1.0,68.0,0.314,160.066,4.0,0.18,
Big Sean,Halfway Off The Balcony,1,0.36,0.529,230960.0,0.809,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,8.0,0.242,-6.554,1.0,82.0,0.269,125.285,4.0,0.136,
Big Sean,Pull Up N Wreck (& Metro Boomin),3,0.00707,0.487,227533.0,0.435,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.000998,10.0,0.178,-7.788,1.0,82.0,0.339,172.951,4.0,0.0849,
Big Sean,Sacrifices,0,0.284,0.77,287320.0,0.565,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,10.0,0.257,-7.641,0.0,82.0,0.272,141.999,4.0,0.394,
Big Sean,Jump Out The Window,2,0.147,0.745,213693.0,0.714,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,1.0,0.132,-6.729,1.0,82.0,0.0768,136.972,4.0,0.554,
Big Sean,Light,3,0.831,0.578,210507.0,0.608,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,7.0,0.108,-5.997,0.0,82.0,0.0507,84.932,4.0,0.199,
Big Sean,Bounce Back,3,0.105,0.77,222360.0,0.567,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,2.0,0.125,-5.698,1.0,82.0,0.175,81.477,4.0,0.26,
Big Sean,Owe Me,2,0.388,0.611,271693.0,0.611,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,8.0,0.113,-8.751,1.0,82.0,0.143,142.187,4.0,0.38,
Big Sean,No Favors,1,0.608,0.58,325840.0,0.768,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1.05e-06,11.0,0.342,-5.482,1.0,82.0,0.386,124.719,5.0,0.351,
Big Sean,Moves,0,0.0541,0.789,142907.0,0.53,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,2.0,0.164,-6.2,1.0,82.0,0.293,75.515,4.0,0.367,
Big Sean,Go Legend (& Metro Boomin),0,0.016,0.653,268947.0,0.577,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,1.0,0.203,-9.018,0.0,82.0,0.116,150.004,4.0,0.196,
Billie Eilish,lovely (with Khalid),1,0.934,0.351,200186.0,0.296,"['electropop', 'pop']",0.0,4.0,0.095,-10.109,0.0,82.0,0.0333,115.284,4.0,0.12,
Billy Currington,Do I Make You Wanna,2,0.122,0.549,234306.0,0.751,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,9.0,0.208,-5.423,1.0,67.0,0.0299,89.953,4.0,0.493,
Blac Youngsta,Booty,3,0.000831,0.938,160038.0,0.549,"['dwn trap', 'rap', 'southern hip hop', 'trap music']",0.000243,1.0,0.082,-8.368,1.0,65.0,0.098,144.005,4.0,0.412,
Blackbear,do re mi,0,0.00419,0.742,212027.0,0.599,['pop'],1.02e-05,8.0,0.126,-6.256,1.0,77.0,0.0465,110.977,3.0,0.154,
Blake Shelton,Every Time I Hear That Song,2,0.0558,0.523,214800.0,0.725,"['contemporary country', 'country', 'country road', 'modern country rock']",6.96e-06,2.0,0.0937,-5.448,1.0,71.0,0.0339,155.855,4.0,0.528,
Blake Shelton,A Guy With a Girl,1,0.0158,0.552,189467.0,0.893,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,0.0,0.105,-4.593,1.0,71.0,0.0383,163.948,4.0,0.777,
Blake Shelton,I Lived It,3,0.476,0.557,219600.0,0.571,"['contemporary country', 'country', 'country road', 'modern country rock']",0.00114,10.0,0.101,-8.106,1.0,71.0,0.0281,80.981,4.0,0.392,
Blake Shelton,I'll Name the Dogs,0,0.163,0.47,183200.0,0.852,"['contemporary country', 'country', 'country road', 'modern country rock']",2.04e-06,4.0,0.281,-5.874,1.0,71.0,0.0933,168.063,4.0,0.773,
