,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
603,bts,mic drop (feat. desiigner) [steve aoki remix],9,0,0.0157,0.613,238726,0.842,['k-pop'],0,10,0.23,-4.332,0,86,0.219,169.917,4,0.645,
614,burl ives,a holly jolly christmas - single version,3,1,0.616,0.674,135533,0.37,['christmas'],0,0,0.0781,-12.937,1,36,0.0309,140.352,4,0.862,
70,calum scott,dancing on my own,1,2,0.839,0.682,260285,0.173,['pop'],3.26E-05,1,0.0983,-8.749,1,72,0.0314,112.663,4,0.236,
615,calvin harris,one kiss (with dua lipa),13,2,0.037,0.791,214847,0.862,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",2.19E-05,9,0.0814,-3.24,0,86,0.11,123.994,4,0.592,
72,calvin harris,feels,18,0,0.0642,0.893,223413,0.745,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0,11,0.0943,-3.105,0,86,0.0571,101.018,4,0.872,
74,calvin harris,rollin,4,3,0.45,0.754,272667,0.762,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",6.67E-05,6,0.224,-4.486,0,86,0.0849,92.002,4,0.673,
75,calvin harris,slide,20,0,0.498,0.736,230813,0.795,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",1.21E-06,1,0.254,-3.299,0,86,0.0545,104.066,4,0.511,
73,calvin harris,heatstroke,1,1,0.362,0.786,229640,0.735,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0,0,0.176,-4.502,0,86,0.0495,110.124,4,0.747,
71,calvin harris,faking it,4,3,0.319,0.776,240093,0.589,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",0,9,0.0715,-4.543,0,86,0.115,120.034,4,0.668,
76,camila cabello,crying in the club,9,1,0.334,0.334,216391,0.617,"['pop', 'post-teen pop']",0,6,0.163,-5.834,0,82,0.383,85.227,4,0.603,
