,level_0,index_x,artist,song,num_weeks,index_y,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
94,141.0,141.0,chris brown,high end,2.0,1,0.0144,0.725,202214.0,0.503,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",1.52e-06,10.0,0.124,-5.646,1.0,85.0,0.209,153.047,4.0,0.0636,
95,142.0,142.0,chris brown,party,14.0,2,0.0556,0.762,220813.0,0.5760000000000001,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.0,1.0,0.0869,-4.9510000000000005,0.0,85.0,0.0829,142.096,4.0,0.316,
627,,,chris brown,pills & automobiles,,3,0.11900000000000001,0.82,292910.0,0.696,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.0,7.0,0.231,-4.918,0.0,85.0,0.182,144.981,4.0,0.617,
99,147.0,147.0,chris janson,fix a drink,14.0,3,0.0297,0.563,188933.0,0.887,"['contemporary country', 'country road', 'lift kit', 'modern country rock', 'redneck']",0.0,1.0,0.35200000000000004,-5.013,1.0,59.0,0.0857,158.05,4.0,0.794,
100,148.0,148.0,chris lane,for her,4.0,0,0.0993,0.51,211227.0,0.904,['contemporary country'],0.0,6.0,0.17300000000000001,-4.291,1.0,66.0,0.0357,150.004,4.0,0.545,
628,,,chris lane,take back home girl (feat. tori kelly),,1,0.35600000000000004,0.488,212080.0,0.7829999999999999,['contemporary country'],0.0,11.0,0.0921,-3.967,1.0,66.0,0.0725,159.924,4.0,0.664,
101,150.0,150.0,chris stapleton,broken halos,20.0,2,0.133,0.607,180907.0,0.575,['contemporary country'],2.52e-06,8.0,0.0566,-7.066,1.0,74.0,0.0252,78.34100000000001,4.0,0.504,
102,151.0,151.0,chris stapleton,either way,2.0,3,0.865,0.6409999999999999,248053.0,0.0628,['contemporary country'],4.08e-06,4.0,0.105,-14.155,1.0,74.0,0.0417,129.004,4.0,0.275,
103,152.0,152.0,chris young,losing sleep,19.0,0,0.0715,0.584,178253.0,0.621,"['contemporary country', 'country', 'country road', 'modern country rock']",1.68e-06,1.0,0.389,-5.702999999999999,1.0,69.0,0.0443,92.00299999999999,4.0,0.634,
629,,,chris young,sober saturday night (feat. vince gill),,1,0.049,0.47700000000000004,194560.0,0.672,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,1.0,0.355,-5.234,1.0,69.0,0.0306,139.864,4.0,0.263,
631,,,clean bandit,i miss you (feat. julia michaels),,2,0.245,0.638,205748.0,0.6579999999999999,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']",3.77e-06,3.0,0.0919,-6.318,1.0,83.0,0.0456,105.07600000000001,4.0,0.33,
630,,,clean bandit,solo (feat. demi lovato),,0,0.0441,0.737,222653.0,0.636,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']",6.659999999999999e-05,11.0,0.35,-4.546,0.0,83.0,0.0437,105.005,4.0,0.565,
632,,,clean bandit,rockabye (feat. sean paul & anne-marie),,3,0.406,0.72,251088.0,0.763,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']",0.0,9.0,0.18,-4.0680000000000005,0.0,83.0,0.0523,101.965,4.0,0.742,
633,,,cole swindell,flatliner (feat. dierks bentley),,2,0.00434,0.555,177067.0,0.8959999999999999,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,0.0,0.145,-3.295,1.0,67.0,0.0388,114.995,4.0,0.578,
104,157.0,157.0,cole swindell,break up in the end,1.0,1,0.456,0.51,199436.0,0.386,"['contemporary country', 'country', 'country road', 'modern country rock']",0.0,1.0,0.252,-8.391,1.0,67.0,0.0307,86.36,4.0,0.266,
636,,,daddy yankee,dura - remix,,2,0.188,0.772,242160.0,0.8029999999999999,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",0.0,1.0,0.434,-3.035,1.0,85.0,0.0468,94.98100000000001,4.0,0.853,
114,171.0,171.0,dan + shay,how not to,14.0,3,0.20800000000000002,0.501,192000.0,0.836,"['contemporary country', 'country road']",0.0,11.0,0.152,-3.5869999999999997,0.0,75.0,0.0491,159.863,4.0,0.618,
115,172.0,172.0,dan + shay,tequila,17.0,0,0.0292,0.474,195987.0,0.594,"['contemporary country', 'country road']",0.0,11.0,0.133,-5.756,1.0,75.0,0.0289,86.131,4.0,0.503,
637,,,daniel caesar,get you (feat. kali uchis),,1,0.42200000000000004,0.6579999999999999,278180.0,0.294,"['indie r&b', 'pop']",5.2000000000000004e-05,4.0,0.0749,-8.533,0.0,73.0,0.0321,74.038,4.0,0.358,
117,175.0,175.0,darius rucker,if i told you,11.0,3,0.344,0.532,212320.0,0.64,"['contemporary country', 'country', 'country road', 'modern country rock', 'pop rock']",0.0,9.0,0.361,-6.684,1.0,67.0,0.0314,84.029,4.0,0.308,
116,174.0,174.0,darius rucker,for the first time,10.0,2,0.007379999999999999,0.547,197053.0,0.804,"['contemporary country', 'country', 'country road', 'modern country rock', 'pop rock']",0.0,6.0,0.0308,-5.268,1.0,67.0,0.0361,142.016,4.0,0.6659999999999999,
118,176.0,176.0,david guetta,2u,11.0,0,0.23,0.542,194907.0,0.654,"['dance pop', 'edm', 'pop']",0.0,8.0,0.24100000000000002,-5.862,0.0,86.0,0.0537,144.971,4.0,0.563,
119,177.0,177.0,david lee murphy,everything's gonna be alright,11.0,1,0.0721,0.764,229573.0,0.5870000000000001,"['contemporary country', 'country', 'country road', 'modern country rock']",6.45e-06,5.0,0.094,-7.002000000000001,0.0,59.0,0.0298,89.98,4.0,0.494,
120,178.0,178.0,dej loaf,no fear,1.0,2,0.387,0.614,169853.0,0.682,"['deep pop r&b', 'detroit hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'trap queen']",0.0,11.0,0.134,-4.117,0.0,64.0,0.102,100.20200000000001,4.0,0.5660000000000001,
121,179.0,179.0,demi lovato,sober,1.0,3,0.7979999999999999,0.397,197893.0,0.303,"['dance pop', 'pop', 'post-teen pop']",4.16e-06,1.0,0.0824,-10.413,1.0,86.0,0.11,170.22,3.0,0.17,
123,181.0,181.0,demi lovato,tell me you love me,19.0,1,0.0241,0.536,236987.0,0.5820000000000001,"['dance pop', 'pop', 'post-teen pop']",0.0,3.0,0.18100000000000002,-5.452000000000001,0.0,86.0,0.0433,82.14200000000001,4.0,0.253,
122,180.0,180.0,demi lovato,sorry not sorry,35.0,0,0.0223,0.7020000000000001,203760.0,0.635,"['dance pop', 'pop', 'post-teen pop']",0.0,11.0,0.28300000000000003,-6.917000000000001,0.0,86.0,0.265,144.004,4.0,0.873,
638,,,derez de’shon,hardaway,,2,0.11800000000000001,0.537,236032.0,0.518,"['deep trap', 'trap music']",0.0,1.0,0.146,-5.987,1.0,57.0,0.188,132.52700000000002,4.0,0.42700000000000005,
124,184.0,184.0,devin dawson,all on me,20.0,0,0.14,0.634,224627.0,0.6679999999999999,"['contemporary country', 'modern country rock']",0.0,5.0,0.21600000000000003,-5.4879999999999995,1.0,61.0,0.0291,80.98899999999999,4.0,0.635,
125,185.0,185.0,dierks bentley,black,17.0,1,0.27,0.6629999999999999,211160.0,0.6559999999999999,"['contemporary country', 'country', 'country road']",0.000279,1.0,0.11699999999999999,-6.547999999999999,1.0,71.0,0.0413,120.037,4.0,0.56,
126,186.0,186.0,dierks bentley,"woman, amen",12.0,2,0.00101,0.563,180243.0,0.772,"['contemporary country', 'country', 'country road']",1.95e-05,5.0,0.214,-6.737,1.0,71.0,0.0593,119.90899999999999,4.0,0.39399999999999996,
639,,,diplo,"welcome to the party (with french montana & lil pump, feat. zhavia ward) - from deadpool 2",,3,0.114,0.618,181720.0,0.845,"['bmore', 'edm', 'moombahton', 'ninja', 'pop']",0.0,2.0,0.415,0.175,1.0,80.0,0.132,171.921,4.0,0.486,
111,166.0,166.0,dj khaled,wild thoughts,21.0,2,0.0287,0.613,204664.0,0.6809999999999999,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.0,8.0,0.126,-3.089,1.0,76.0,0.0778,97.62100000000001,4.0,0.619,
110,165.0,165.0,dj khaled,top off,7.0,1,0.0107,0.573,230713.0,0.591,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.0,11.0,0.455,-6.715,0.0,76.0,0.331,86.721,5.0,0.23199999999999998,
109,164.0,164.0,dj khaled,to the max,4.0,0,0.0184,0.461,193902.0,0.812,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.000375,10.0,0.21,-5.776,0.0,76.0,0.24100000000000002,159.869,4.0,0.72,
108,163.0,163.0,dj khaled,shining,14.0,3,0.053,0.768,284000.0,0.807,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",2.99e-06,2.0,0.214,-5.507999999999999,0.0,76.0,0.106,112.001,4.0,0.575,
107,162.0,162.0,dj khaled,on everything,1.0,2,0.0232,0.542,233293.0,0.755,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.0,1.0,0.225,-3.68,1.0,76.0,0.0614,168.22,4.0,0.267,
106,161.0,161.0,dj khaled,i'm the one,22.0,1,0.0533,0.599,288877.0,0.667,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.0,7.0,0.134,-4.2669999999999995,1.0,76.0,0.0367,80.984,4.0,0.8170000000000001,
105,160.0,160.0,dj khaled,don't quit,1.0,0,0.015,0.652,229147.0,0.8270000000000001,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.0,7.0,0.43200000000000005,-3.98,0.0,76.0,0.0445,100.01100000000001,4.0,0.659,
112,167.0,167.0,dj luke nasty,otw,2.0,3,0.0143,0.743,219512.0,0.6509999999999999,['trap music'],0.0,6.0,0.079,-5.974,1.0,47.0,0.0646,82.022,4.0,0.467,
113,168.0,168.0,dj snake,let me love you,8.0,0,0.0771,0.652,205947.0,0.713,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']",1.0199999999999999e-05,8.0,0.14400000000000002,-5.311,1.0,77.0,0.0368,100.023,4.0,0.152,
634,,,dj suede the remix god,cash me outside (#cashmeoutside) (feat. bhad bhabie),,1,0.0471,0.981,129384.0,0.41700000000000004,['dwn trap'],0.359,11.0,0.10300000000000001,-10.732000000000001,0.0,39.0,0.134,122.044,4.0,0.262,
136,199.0,199.0,drake,emotionless,1.0,3,0.0239,0.413,302173.0,0.6759999999999999,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,1.0,0.0811,-5.124,1.0,100.0,0.213,173.47799999999998,4.0,0.0827,
139,202.0,202.0,drake,finesse,1.0,2,0.132,0.807,182080.0,0.321,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.00028900000000000003,0.0,0.1,-8.147,0.0,100.0,0.0571,94.994,4.0,0.305,
138,201.0,201.0,drake,final fantasy,1.0,1,0.428,0.461,219960.0,0.449,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",8.29e-06,0.0,0.115,-10.998,1.0,100.0,0.442,86.505,4.0,0.10400000000000001,
135,198.0,198.0,drake,elevate,1.0,2,0.0153,0.755,184960.0,0.47,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,1.0,0.11800000000000001,-8.72,1.0,100.0,0.139,76.056,4.0,0.0604,
140,203.0,203.0,drake,free smoke,4.0,3,0.0621,0.617,218674.0,0.49200000000000005,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,10.0,0.484,-7.587999999999999,0.0,100.0,0.44799999999999995,141.953,4.0,0.20800000000000002,
137,200.0,200.0,drake,fake love,11.0,0,0.10800000000000001,0.927,210937.0,0.488,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.0,9.0,0.196,-9.433,0.0,100.0,0.42,133.987,4.0,0.605,
